,Climate,Operation,TSV,Clo,Met,Ta,Tr,RH,Vel,PMV,PPD
49971,Cfb,Naturally Ventilated,1.0,0.7,1.3,29.6,30.0,33.3,0.4,1.41,45.93
49974,Cfb,Naturally Ventilated,2.0,0.42,1.3,28.3,28.7,34.4,0.1,1.02,27.15
49975,Cfb,Naturally Ventilated,3.0,0.5,1.2,28.3,28.3,34.9,0.1,0.95,24.18
49976,Cfb,Naturally Ventilated,1.0,0.56,1.3,25.7,26.4,36.9,0.1,0.54,11.1
49977,Cfb,Naturally Ventilated,-1.0,0.34,1.3,24.8,25.8,38.2,0.2,-0.33,7.31
49979,Cfb,Naturally Ventilated,2.0,0.59,1.3,25.1,26.1,36.9,0.1,0.46,9.49
49988,Cfb,Naturally Ventilated,3.0,0.5,1.2,28.0,28.0,29.8,0.1,0.82,19.19
50179,Cfb,Naturally Ventilated,0.0,0.88,1.3,24.5,25.6,57.2,0.1,0.8,18.59
50180,Cfb,Naturally Ventilated,1.0,0.9,1.1,26.3,26.6,52.4,0.1,0.91,22.5
50181,Cfb,Naturally Ventilated,0.0,0.64,1.1,25.9,26.9,53.8,0.0,0.64,13.49
50182,Cfb,Naturally Ventilated,1.0,0.59,1.3,26.4,27.1,51.4,0.1,0.86,20.65
50184,Cfb,Naturally Ventilated,2.0,0.57,1.2,26.1,26.6,52.0,0.1,0.61,12.71
50185,Cfb,Naturally Ventilated,0.0,0.58,1.2,24.1,26.5,55.2,0.1,0.33,7.25
50186,Cfb,Naturally Ventilated,0.0,0.65,1.0,26.3,26.8,47.3,0.1,0.42,8.61
50187,Cfb,Naturally Ventilated,1.0,0.72,1.2,25.9,27.2,48.3,0.1,0.82,19.16
50188,Cfb,Naturally Ventilated,1.0,0.56,1.3,26.2,27.6,48.6,0.1,0.84,19.93
50189,Cfb,Naturally Ventilated,3.0,0.64,1.2,26.8,27.0,48.0,0.1,0.82,19.34
50190,Cfb,Naturally Ventilated,2.0,0.39,1.0,26.6,28.1,47.6,0.1,0.24,6.21
50191,Cfb,Naturally Ventilated,1.0,0.58,1.3,26.4,27.5,49.3,0.1,0.88,21.51
50192,Cfb,Naturally Ventilated,2.0,0.59,1.1,26.3,26.7,49.6,0.1,0.51,10.4
50194,Cfb,Naturally Ventilated,-1.0,0.61,1.1,26.1,26.9,50.2,0.1,0.54,11.11
50197,Csb,Naturally Ventilated,0.0,0.7,1.2,25.4,27.1,61.7,0.0,0.85,20.41
50198,Csb,Naturally Ventilated,0.0,0.67,1.1,25.6,27.2,59.7,0.1,0.67,14.33
50199,Csb,Naturally Ventilated,1.0,0.62,1.2,25.1,26.9,60.8,0.0,0.67,14.44
50200,Csb,Naturally Ventilated,1.0,0.67,1.2,24.8,27.0,60.5,0.1,0.66,14.28
50201,Csb,Naturally Ventilated,0.0,0.73,1.2,24.9,26.6,60.9,0.1,0.71,15.56
