TSV,Clo,Met,Ta,Tr,RH,Vel
-1,0.36,1,29.5,29.5,17.5,0
1,0.36,1,30.9,30.9,20,0
-1,0.36,1.2,29,29,19.4,0
0,0.27,1.2,28.9,28.9,19.8,0.35
0,0.36,1,27.9,27.9,19.2,0
1,0.37,1,25.5,25.5,26.3,0.3
0,0.72,1,26.4,26.4,35.7,0
0,0.55,1.2,26.4,26.4,36.9,0
0,0.55,1,26.9,26.9,31.2,0
0,0.36,1,27,27,28.4,0
0,0.53,1,27,27,29.5,0
0,0.54,1,28.3,28.3,25,0
-1,0.27,1,27.1,27.1,22.7,0
-1,0.72,1,27.2,27.2,25.9,0
0,0.66,1,27.3,27.3,24.6,0
0,0.47,1,27.8,27.8,23.5,0
-1,0.28,1,27.5,27.5,23.4,0
-1,0.71,1,27.6,27.6,24.1,0
-1,0.8,1,27.6,27.6,29.8,0
-1,0.28,1,27.6,27.6,24.2,0
-2,0.54,1,28.3,28.3,20.4,0.05
0,0.55,1,28.5,28.5,20.2,0.05
-1,0.65,1,28,28,23.6,0.13
-2,0.27,1,27.5,27.5,19,0.05
-1,0.27,1,28.4,28.4,20.5,0.1
-1,0.27,1,28.3,28.3,20.4,0.1
0,0.54,1,29.2,29.2,20.3,0
0,0.36,1,29.5,29.5,19,0
0,0.36,1,29.4,29.4,19.3,0
-1,0.27,1,30.4,30.4,17.3,0
0,0.54,1,29.9,29.9,17.3,0
1,0.27,1,31.2,31.2,16.6,0.33
-1,0.54,1,28.5,28.5,19.1,0
0,0.54,1,29.9,29.9,19.2,0
-1,0.54,1,28.9,28.9,19,0.05
0,0.55,1,28.7,28.7,18.4,0.05
-1,0.66,1,29.5,29.5,25.5,0
0,0.54,1,29.3,29.3,25.8,0
-1,0.54,1,28.7,28.7,21.4,0
-1,0.48,1,29.1,29.1,21.1,0
-1,0.55,1,29,29,20.9,0
0,0.54,1,28.8,28.8,22.2,0.1
1,0.72,1,28.9,28.9,22.3,0.05
1,0.47,1,28.8,28.8,22,0.35
1,0.38,1,28.5,28.5,21.9,0
0,0.27,1,28.7,28.7,24.4,0
-1,0.55,1,28.4,28.4,24.8,0
-1,0.58,1,27.1,27.1,24,0
-1,0.57,1,28.2,28.2,23,0
0,0.54,1,28.2,28.2,22.9,0.05
-1,0.36,1,27.9,27.9,23.3,0.05
0,0.57,1,27.8,27.8,21.8,0.18
-1,0.5,1,31.9,31.9,22.3,0.2
-1,0.48,1,30.7,30.7,22.5,0
0,0.36,1,29.7,29.7,23.4,0
-1,0.71,1,29.1,29.1,26.5,0
0,0.49,1,28.8,28.8,25.6,0
-1,0.72,1,27.7,27.7,24.5,0
1,0.31,1,27.8,27.8,24.6,0.05
0,0.55,1,28.4,28.4,26.5,0
0,0.49,1,28.7,28.7,35.2,0.05
0,0.55,1,28.6,28.6,40.3,0.05
-1,0.45,1,28.5,28.5,37.2,0
0,0.28,1,28.9,28.9,36.5,0
-1,0.37,1,28.8,28.8,37.5,0
1,0.37,1,28.1,28.1,35.4,0
0,0.54,1,28.5,28.5,37,0
0,0.37,1,28.3,28.3,36.6,0
0,0.36,1,29,29,37.4,0
-1,0.55,1,28.9,28.9,38.4,0
0,0.37,1,29.6,29.6,36.3,0
0,0.73,1,19.7,19.7,30.8,0
-1,0.55,1,19.9,19.9,29.6,0
-2,0.54,1,20.1,20.1,28.9,0
-2,1.02,1,20,20,30.5,0
-2,0.49,1,20.7,20.7,29.6,0
1,0.82,1,20.5,20.5,32.3,0
-2,0.97,1,20.5,20.5,29,0
0,0.53,1,20.5,20.5,28.2,0
-1,0.96,1,17.4,17.4,42.7,0
-2,0.84,1.2,19.1,19.1,42.2,0
-1,0.65,1,18.8,18.8,39.5,0
-2,0.83,1,19.4,19.4,45.6,0
-1,0.55,1,18.9,18.9,40.2,0
-1,0.55,1.2,19.2,19.2,36.4,0
-3,1.02,1.2,20,20,36.6,0
-2,0.4,1.2,19.3,19.3,39.4,0
-1,0.53,1.2,18.4,18.4,45.7,0
-2,0.85,1,19.1,19.1,45.7,0
-1,0.75,1,19.1,19.1,45.1,0
-2,0.47,1.2,19.1,19.1,46.2,0
-1,0.63,1,19.3,19.3,44.4,0
-2,0.8,1,19.5,19.5,45.4,0
-2,0.54,1.2,19.2,19.2,43.6,0
-1,0.54,1,20.5,20.5,44.4,0
-2,0.94,1.2,20.4,20.4,43.8,0
-2,0.9,1,15.6,15.6,65.9,0
-1,1.06,1.2,17.2,17.2,61,0
-1,0.71,1,16.4,16.4,60.2,0
-3,0.71,1.2,16.8,16.8,57.9,0
-3,1.02,1.2,16.4,16.4,58.5,0
-1,0.83,1,16.8,16.8,57.9,0
-3,0.95,1.2,17.4,17.4,58,0
-2,0.61,1.2,17.1,17.1,58.4,0
-1,0.82,1.2,16.8,16.8,71.4,0
0,0.57,1,17.1,17.1,70.5,0
1,0.36,1,26.2,26.2,19.2,0
1,0.36,1,25.1,25.1,16.5,0
2,0.55,1,24.6,24.6,16.8,0
-2,0.51,1,24.9,24.9,19.3,0.2
-1,0.38,1,25.2,25.2,17.5,0
0,0.54,1,25.2,25.2,22.8,0
-3,0.96,1,18.6,18.6,64.2,0
-3,0.65,1,18.6,18.6,62.5,0
-1,0.86,1,19.6,19.6,62.8,0
-2,0.91,1,14.7,14.7,40.6,0
0,0.85,1.2,17.4,17.4,32.9,0
-1,0.97,1.2,17.1,17.1,33,0
-1,1.16,1.2,17,17,32.7,0
-2,0.5,1.2,16.8,16.8,37.8,0
-1,0.7,1.2,17.7,17.7,33.1,0
0,0.81,1,17.4,17.4,28,0
-1,0.93,1,15.6,15.6,22.4,0
-1,0.59,1,18,18,20.5,0
-1,0.64,1,20.2,20.2,22.3,0
-2,0.53,1,18.4,18.4,24.2,0
-1,0.98,1,18.8,18.8,25.1,0
-2,0.97,1,18.7,18.7,21.6,0
1,0.52,1,18.6,18.6,23.5,0
-1,0.47,1,19.8,19.8,20.4,0
-1,0.78,1.2,19.6,19.6,18.1,0
-2,0.82,1,20.7,20.7,17.3,0
-1,0.74,1,17.6,17.6,34.7,0
-2,1.21,1.2,17.6,17.6,34,0
-1,0.8,1.2,19.9,19.9,32.6,0
-2,0.8,1,19.4,19.4,34.2,0
-1,0.83,1,18.7,18.7,32.7,0
-3,0.79,1,18.7,18.7,32.7,0
-2,0.49,1,21.6,21.6,24.1,0
0,0.84,1,21.3,21.3,25.3,0
-1,1.21,1.2,21.4,21.4,28.7,0
-1,1,1,21.2,21.2,29.6,0
-1,0.95,1,21.8,21.8,24.7,0
-1,0.83,1,23.3,23.3,25.6,0
0,1.03,1.2,22.5,22.5,24.1,0
-1,0.96,1.2,21.8,21.8,32.2,0
-1,0.96,1,22.2,22.2,26.5,0
0,0.64,1,32.2,32.2,26.8,0.28
0,0.38,1,33,33,27,0.3
1,0.55,1,33.6,33.6,26.6,0.33
0,0.57,1,32.3,32.3,26.2,0.35
-1,0.8,1,21.8,21.8,34.8,0.24
-1,0.54,1,21.7,21.7,35.4,0.23
0,0.54,1,21,21,36.3,0.28
0,0.55,1,20.5,20.5,38.4,0.25
-1,0.53,1,21.2,21.2,32.8,0.36
-1,0.8,1,21.9,21.9,33.9,0.27
-1,0.72,1,22.3,22.3,37.9,0.27
-1,0.53,1,21,21,29.8,0.25
1,0.57,1,26.2,26.2,24,0.24
-1,0.54,1,22.5,22.5,21.2,0.45
1,0.28,1,25,25,22.6,0.26
1,0.73,1,21.7,21.7,27.5,0.25
0,0.37,1,21.8,21.8,28.5,0.24
-1,0.55,1,23.2,23.2,26.9,0.26
0,0.54,1,23.1,23.1,40.2,0.24
-1,0.36,1,22.6,22.6,34.6,0.25
-1,0.87,1,22.3,22.3,29.4,0.26
0,0.54,1,23.7,23.7,29.7,0.25
0,0.48,1,23,23,27.1,0.25
1,0.54,1,23,23,31.2,0.25
2,0.8,1,22.9,22.9,30.1,0.24
-1,0.54,1,23.5,23.5,27.4,0.25
-1,0.79,1,22.9,22.9,35.4,0.26
0,0.54,1,23.2,23.2,26,0.25
1,0.53,1,22.4,22.4,26.8,0.25
0,0.71,1,24,24,29.6,0.24
0,0.54,1.2,26.1,26.1,23.9,0.25
0,0.78,1,26.7,26.7,20.3,0.35
-1,0.36,1,27.4,27.4,18.6,0.3
-1,0.34,1,25,25,23,0.26
0,0.86,1,25.2,25.2,23.5,0.25
1,0.4,1,24.8,24.8,21.5,0.27
0,0.27,1,26.6,26.6,18,0.27
0,0.4,1,24.7,24.7,22.1,0.31
1,0.27,1,25.5,25.5,18.6,0.26
0,0.38,1,26.1,26.1,17.5,0.26
1,0.37,1,26.9,26.9,22.7,0.34
2,0.54,1,26.8,26.8,21.8,0.32
1,0.51,1,28,28,21,0.32
3,0.27,1,26.7,26.7,27,0.3
3,0.57,1,29.4,29.4,19.3,0.31
3,0.57,1,29.3,29.3,19.1,0.3
2,0.55,1.2,28.7,28.7,19,0.35
2,0.57,1,28.9,28.9,19.6,0.29
1,0.57,1,28.4,28.4,19.9,0.36
2,0.54,1,26.8,26.8,21.3,0.3
2,0.27,1,28.5,28.5,21.9,0.34
0,0.57,1,25.4,25.4,32.1,0.26
0,0.54,1,25.8,25.8,27.2,0.26
0,0.57,1,25.5,25.5,27.1,0.27
0,0.36,1,27,27,17.6,0.35
0,0.38,1,27.5,27.5,48.3,0.27
1,0.63,1,25.2,25.2,38.9,0.27
3,0.57,1,25.5,25.5,28.3,0.33
2,0.57,1,26,26,31,0.33
1,0.55,1,27.9,27.9,24.9,0.26
0,0.47,1,27,27,22.9,0.34
-1,0.31,1,28.3,28.3,15.4,0.47
0,0.27,1,28.4,28.4,22.1,0.34
0,0.28,1,26.9,26.9,29.3,0.3
0,0.27,1,28.1,28.1,30.2,0.27
1,0.36,1,27.6,27.6,19.7,0.45
1,0.65,1,28.1,28.1,27.6,0.36
0,0.54,1,27.8,27.8,24.4,0.27
1,0.39,1,30.1,30.1,20.6,0.36
2,0.28,1,29.8,29.8,23,0.28
2,0.44,1,30.2,30.2,22.5,0.29
2,0.37,1,31,31,19.8,0.32
1,0.54,1,32.2,32.2,21,0.42
1,0.54,1,24.8,24.8,29.4,0.28
1,0.54,1,24.1,24.1,38.2,0.45
1,0.54,1,24.7,24.7,23.7,0.23
1,0.54,1,22.5,22.5,22.1,0.35
0,0.54,1,22,22,26.4,0.37
-1,0.54,1,21.2,21.2,26.2,0.41
0,0.54,1,27.3,27.3,24,0.27
1,0.54,1,28,28,28.8,0.46
-1,0.54,1,27.8,27.8,24.2,0.35
1,0.54,1,28.6,28.6,22.8,0.27
0,0.48,1,27.3,27.3,28.3,0.28
0,0.38,1,26.5,26.5,31.7,0.28
0,0.38,1,26.4,26.4,31.1,0.32
0,0.55,1,27.2,27.2,30.3,0.27
1,0.54,1,26.6,26.6,31.1,0.29
1,0.63,1,32.4,32.4,23.7,0.37
2,0.27,1,32.5,32.5,23.4,0.34
