TSV,Clo,Met,Ta,Tr,RH,Vel
0,0.77,1,23.7,23.7,26.3,0.09
-1,0.97,1.1,24.4,24.4,28.2,0.05
-2,0.92,1,24.8,24.8,28.8,0.08
-1,1.03,1.1,24.7,24.7,28.5,0.08
0,1,1.1,24.7,24.7,28.6,0.06
0,0.74,1.1,24,24,30.7,0.02
1,0.7,1.1,24.3,24.3,23.6,0.22
0,0.73,1.1,24,24,25.4,0.1
1,0.99,1.1,24.5,24.5,26.5,0.08
0,0.65,1.2,23.8,23.8,26,0.12
-1,0.68,1.1,23.7,23.7,29.6,0.04
0,1.04,1.1,23.7,23.7,26,0.08
0,0.68,1.1,23.7,23.7,27.8,0.13
1,0.83,1,25,25,33.1,0.1
-1,0.79,1.1,23.7,23.7,27.6,0.12
0,0.62,1.1,23.7,23.7,27.4,0.11
0,0.75,1.3,23.4,23.4,26.4,0.09
-1,1.1,1.1,23.2,23.2,27.7,0.09
0,1.1,1.1,23.3,23.3,27.6,0.12
0,1.06,1.2,22.9,22.9,28.2,0.08
0,0.77,1.1,23.2,23.2,27.9,0.1
-1,0.64,1.1,25,25,31.7,0.12
0,0.54,1.1,24.9,24.9,31.6,0.09
0,0.62,1.1,24.9,24.9,31.5,0.09
-1,0.91,1.1,24.1,24.1,29.2,0.29
0,1.24,1.1,21,21,24.6,0.15
-0.5,0.77,1.1,22.3,22.3,25.6,0.02
-0.5,0.63,1.2,23,23,24.5,0.36
-1,0.7,1.1,23.8,23.8,24.6,0.03
-1,1.22,1.1,23.9,23.9,24.7,0.14
-1.5,0.97,1,23.6,23.6,24.5,0.09
-2,0.94,1.2,23.6,23.6,24.5,0.09
-1,1.04,1,23.6,23.6,24.5,0.09
-1,0.64,1.1,23.3,23.3,23.4,0.03
0,1.21,1,24.8,24.8,22.3,0.03
1,0.71,1.1,24.6,24.6,23,0.06
0,0.7,1.1,24.5,24.5,22.2,0.22
0,1.17,1.1,24.2,24.2,22.7,0.11
0,1.04,1.1,24.3,24.3,22.4,0.2
-1,0.84,1.1,23.7,23.7,24.2,0.03
-0.5,0.8,1.1,24,24,25.3,0.04
0,0.75,1.1,25,25,25.9,0.02
1,1.03,1.1,24.4,24.4,25.3,0.09
-1,1.06,1.3,23.8,23.8,23.6,0.14
0,0.83,1.1,23.6,23.6,23.9,0.11
-1,0.82,1.1,23.1,23.1,26.9,0.04
0,1.15,1.1,23.5,23.5,29.8,0.02
-2,0.98,1,23,23,26.4,0.07
-1,1.24,1.2,23.8,23.8,25.6,0.13
-1,1.05,1.1,24,24,25.6,0.14
-1,0.74,1.1,23.6,23.6,26.4,0.08
-2,0.8,1.1,23.7,23.7,24.7,0.07
-1,1.03,1.1,24.7,24.7,30.8,0.04
1,1.08,1.1,24,24,27.9,0.03
0,0.92,1.1,23.3,23.3,26.2,0.05
-2,1.22,1.1,23.9,23.9,24.3,0.12
-1,1.18,1.1,23.1,23.1,26.9,0.08
-1,1.08,1,22.4,22.4,32,0.04
0,1,1.1,23.2,23.2,29.4,0.03
-1,0.86,1.1,23.8,23.8,28.1,0.07
-1,0.86,1.1,22.4,22.4,28,0.05
-3,0.82,1,23.8,23.8,27.6,0.06
-1,0.59,1.1,22.9,22.9,27.7,0.03
-2,1.09,1.2,22.7,22.7,32.8,0.04
-1,1.13,1.1,22.8,22.8,31.1,0.04
1,0.89,1,23.5,23.5,26.5,0.03
-1,1.16,1.2,23.3,23.3,30.1,0.02
-2,1.18,1.1,23.6,23.6,25.1,0.07
-1,0.86,1.3,24.1,24.1,24,0.1
-1,0.89,1.1,24.2,24.2,23.1,0.05
-2,0.89,1.1,23.8,23.8,23.9,0.07
-2,0.71,1.1,23.8,23.8,24.1,0.08
-1,0.89,1.1,22.6,22.6,33,0.02
-2,1.11,1.1,22.9,22.9,32.8,0.02
1,0.74,1.1,23.4,23.4,29.1,0.05
-1,1.12,1.1,23.5,23.5,28.9,0.05
0,1.21,1.1,23.6,23.6,24.8,0.14
-2,1.16,1.1,22.8,22.8,27.6,0.03
-1,1.03,1.1,22.8,22.8,28.4,0.11
-1,0.97,1.2,23,23,29.7,0.03
0,0.86,1.1,24.4,24.4,27,0.02
0,0.89,1.1,25.6,25.6,30.1,0.03
0,1.06,1,23.1,23.1,26.6,0.03
1,0.71,1.3,23.7,23.7,37.6,0.01
-2,0.93,1.1,22.5,22.5,28.7,0.12
0,1.04,1.1,22.3,22.3,27.1,0.12
